quizzes,solutions
008910003050030401700008026024709000003004070680500000906000018010040097805200600,468912753259637481731458926124789365593164872687523149946375218312846597875291634
007008400000300029920001700008100600005020093000605100084902060050010004203067085,537298416841376529926541738478139652165724893392685147784952361659813274213467985
008500300570000090000200106090360002084005009700018543040076000000093201960000780,618549327572631498439287156195364872384725619726918543241876935857493261963152784
009080600010002038200503074000105009430000010007864050040070160500906300082000000,359487621714692538268513974826135749435729816197864253943278165571946382682351497
103080402409635000000200095700400008305090270068050001070940010000061000902800600,153789462429635187687214395791426538345198276268357941576942813834561729912873654
600075008081460007007000230000914320050800040092500001060001500230009070904003600,629375418381462957547198236876914325153826749492537861768241593235689174914753682
009080600627500000300100009850602400000078300072004060000400910200030005045090208,519283674627549183384167529853612497461978352972354861738425916296831745145796238
400000076023090000500037010009200000280010053617008004005046000130900408006000097,491582376723691845568437219359264781284719653617358924975846132132975468846123597
410035790005001806000690100800070000509008671040002005002004900100053000764000023,416835792975421836283697154831576249529348671647912385352764918198253467764189523
300207050054010030000400986002071840807090000910006205070005000009080001000639400,398267154654918732721453986562371849847592613913846275476125398239784561185639427
206901074000340000950002000000400200007003460068017059780150090002000000009006831,236981574871345926954672183395468217127593468468217359783154692612839745549726831
500070009010802005042100600007439000190000460008506002850040030003600750600200000,586374129719862345342195687267439518195728463438516972851947236923681754674253891
000320700750080009002000541803019000004600100960400072005037008490001030600002005,149325786756184329382796541873219654524678193961453872215937468498561237637842915
700603850090740000020100030506080200010905700003002510207506140004030900860000000,741623859395748621628159437576381294412965783983472516237596148154837962869214375
002094061000710908080600450020070580001500700060302004907030000450069003006000010,572894361643715928189623457324971586891546732765382194917238645458169273236457819
008094760030000100000070390074015006050907008200000010100620050925803000306000400,518394762739562184462178395874215936651937248293486517147629853925843671386751429
000103508640920000001570092809050001060700000520000089407306005030800017000000430,792163548645928173381574692879452361163789254524631789417396825236845917958217436
093480000106900350205030000007506090800090140010020035074100802060008500000700009,793485621186972354245631987437516298852397146619824735374159862961248573528763419
106049200054801300070500900000030590600470002503206001008902003000000070410000608,136749285954821367872563914247138596691475832583296741768912453325684179419357628
300004620800301907050670000000020300902500078671090004100068030200010409084000500,317984625826351947459672813548127396932546178671893254195468732263715489784239561
205040000009076005800001709002600300700000480086705001000308500500000163041009002,275943618139876245864251739912684357753192486486735921627318594598427163341569872
080600720005072800607300400002050360000140009793080050050030600810009002000004000,481695723935472816627318495142957368568143279793286154259831647814769532376524981
004760000010005387000012050083040026007300000020008409045000900170056200600130008,854763192216495387739812654983541726467329815521678439345287961178956243692134578
070980500210003906030056000902800070060204030103000090000015042006070008450300000,674982513215743986839156427942831675567294831183567294798615342326479158451328769
900035420005410706007200009008900040403006007090000081020601503036870000100040000,961735428285419736347268159618927345453186297792354681824691573536872914179543862
008630047504009006030000000809003104200095000017460200001080970060001003000750002,198632547574819326632547891859273164246195738317468259421386975765921483983754612
001004500000008036062705009406810200050392800000000017000000070700659408928000003,371964582594128736862735149436817295157392864289546317645283971713659428928471653
025060040700300006090074100872000510030017009500000604050109000004023000061000938,125968347748351296693274185872496513436517829519832674357189462984623751261745938
148050200309806017600300905004005000090002003000700601005600790210049000080003004,148957236359826417672314985764135829891462573523798641435681792217549368986273154
800050710030040986000030500509207034081900070004010800076005000900000021200306000,842659713135742986697831542569287134381964275724513869476125398953478621218396457
206390000001680370080040010702036004500004001600075090004000035897000100000200080,276391548451682379983547612712936854539824761648175293124768935897453126365219487
607003089030901560000000000700042090000100605852009170003420006296005800004700010,617253489438971562925864731761542398349187625852639174173428956296315847584796213
300080102160305000049000070000009406007013000904020530500000048000690700083502090,375984162162375984849261375238759416657413829914826537596137248421698753783542691
071900205000008600908100000005090840030010002040003750150700006006402000400030090,371946285524378619968125374615297843837514962249863751153789426796452138482631597
104800690702050000000036100008240500250008010003670809040900007095700063000064000,134827695762159348589436172978241536256398714413675829641983257895712463327564981
006000000001805702842300060695003100084200000000040835070006090000070250013402080,756924318931865742842317569695783124384251976127649835278536491469178253513492687
001300070300260004500094308190000207002000060060180950004005020089006100003017840,941358672378261594526794318195643287832579461467182953614835729789426135253917846
740200900008060041006018200104807000020305007000091405800500030000936080970002600,741253968238769541596418273154827396629345817387691425862574139415936782973182654
600000090058043200027050000000039452502060013100700000300800007804006300079004800,631287594958643271427951638786139452592468713143725986365892147814576329279314865
209810030340020006060000700000651800800000093457300001002000904690205000000087010,279816435345729186168534729923651847816472593457398261782163954691245378534987612
200073406004106700570200010350064001018507600900000002183090004000030080000602000,291873456834156729576249318352964871418527693967318542183795264625431987749682135
500129030600000070024080000070460821000000000143050069098300050006018094030700002,587129436619534278324687915975463821862971543143852769298346157756218394431795682
904020005000053060001740900007000608380510090200000004709106002100300700500002089,934621875872953461651748923417239658386514297295867314749186532128395746563472189
000070000502100908360409001207000500004080020159007600045706000000200430800010069,491872356572163948368459271287641593634985127159327684945736812716298435823514769
031900400800200073400060050000000520706005030000080009902078000004010600057304180,231957468865241973479863251148739526796125834523486719912678345384512697657394182
370860004400031060098250000100000879000040030203980500006090007732600000040500120,371869254425731968698254713154326879987145632263987541516492387732618495849573126
180020700400106050005079040700900400060000830000403109003201000500098002018307060,186524793479136258325879641731985426964712835852463179693241587547698312218357964
020076010300824500600000900209740003010050090008010740050300001402005800080007620,825976314391824567647531982269748153714653298538219746956382471472165839183497625
567800001020010608000004073270380506050400000046000109000609000810270004000050300,567832491423917658981564273279381546158496732346725189732649815815273964694158327
002500000700800069006371400920006038030190000050000704000000805380640010170005020,842569371713824569596371482927456138438197256651238794269713845385642917174985623
006050201030006000050130009190005047004700592200000006800002004009047010600310800,786954231931276458452138769198625347364781592275493186813562974529847613647319825
050710040314600080008002600082900560000003002509006400000000810001074900493850000,256718349314695287978432651182947563647583192539126478725369814861274935493851726
600001730080500621070403000800007000007235940004100250020000510300000089509600300,695821734483579621271463895852947163167235948934186257728394516316752489549618372
260053008070400009031760200009806023100040057006000800000007900003200014800190506,264953178578421369931768245759816423182349657346572891415637982693285714827194536
800400000019073500000009620002160070005000048400908003030725010067000000104000350,856412739219673584743589621382164975695237148471958263938725416567341892124896357
092300800006005030800401506001908020000030070084500000010740350067000200459000017,592367841146895732873421596631978425925634178784512963218746359367159284459283617
000173480008602000530009027710200506042710090803400000000080700164000009900000052,296173485478652913531849627719238546642715398853496271325981764164527839987364152
380520040005001020010073806700400095456300000000000200000680300820050009907000001,389526147675841923214973856732418695456392718198765234541689372823157469967234581
024009605010230409800060007000580701063000000700000024930004800500008906406007050,324879615617235489895461237249583761163742598758196324931654872572318946486927153
068002007000001390003047012910500006000000500052000084401093000600700100300064820,168932457247651398593847612914578236836429571752316984481293765629785143375164829
300540000860700001047000098504893007000050903020006000002005100670200080000630209,391548762865729431247361598514893627786452913923176854432985176679214385158637249
000010080005630004940002010500000090680400502129000600008160257000000030030079008,362914785815637924947852316574326891683491572129785643498163257756248139231579468
006000410900217000037040500028760340004052076000009008000300025060175904003000600,286593417945217863137648592528761349394852176671439258419386725862175934753924681
009004003750390200600050410490700100008409500002030060000002000520060840931800007,219684753754391286683257419495726138368419572172538964846172395527963841931845627
000600070900410250080903600304060007010070805000000423700208000605109004030050090,142685379963417258587923641354862917219374865876591423791248536625139784438756192
904000502368000400012000067000406070021005080400901320039002610000870000085063000,974618532368257491512394867893426175621735984457981326739542618146879253285163749
003100049000708016160095003005000062007046300014000870090087050706350000020000900,873162549459738216162495783935871462287546391614923875391287654746359128528614937
092708000400000010000360905100890760680000009059000340710080400000006503306007280,592718634463529817871364925134895762687432159259671348715283496928146573346957281
059010070004002600700040023000400080020305146030081500900006031600729004008000200,259613478384972615761548923195467382827395146436281597942856731613729854578134269
700208900000530014083010070090006240204000680360090000000900005600370120510064000,751248936926537814483619572195786243274153689368492751837921465649375128512864397
020005400301004007005060289000007904064900300053020010000601000802030070190080500,629875431381294657475163289218357964764918325953426718537641892842539176196782543
002350000091204860400600073005007019980000027600005040040063180026009000870410000,762358491391274865458691273235847619984136527617925348549763182126589734873412956
308009060900718500540200700002080054000027010805600300690000027200301000004000608,378459261926718543541236789762183954439527816815694372693845127287361495154972638
006045170571030004400006009040103800200000000730628050007064000900000002050072910,396245178571839264482716539645193827218457693739628451127964385963581742854372916
408723001010040007503600009920000806000000040704580030300072058000306290006004100,498723561612945387573618429925437816831269745764581932349172658187356294256894173
619000300030000007400205900000070602000106490805090030020000084340520100901608000,619784325532961847487235916194873652273156498865492731726319584348527169951648273
001067200083405100009008640076093501805002409030000070200050000057000068060100002,541967283683425197729318645476893521815672439932541876298756314157234968364189752
006040390084095001030200004109003780000000042000507000247001065008900270300060000,526148397784395621931276854159423786873619542462587139247831965618954273395762418
020000040106700930900510608407006000003004870000390012040800190000020500800039007,325968741186742935974513628417286359293154876568397412642875193739621584851439267
080090104506008000300026980630210050070000230004005007900400003000070820210039006,782593164596148372341726985639217458875964231124385697968452713453671829217839546
940060000000027001601009802008001370000080400503900000097003250230005706106040080,942168537385427691671539842468251379719386425523974168897613254234895716156742983
760800402005000310400320079309000500020400087071050040002908000030206000080070060,763891452295764318418325679349187526526439187871652943652918734137246895984573261
507000010083506020000789600000000940040300002009802307318020006094100250000460008,567234819983516724421789635832657941746391582159842367318925476694178253275463198
406000010030080092500306700720095400003620008015000070069041503001000807000002060,486279315137584692592316784728195436943627158615438279869741523251963847374852961
000840070020003060905200008016008930300605247500004100164070000098030000700901600,631849572827153469945267318416728935389615247572394186164572893298436751753981624
000000800500067420093580067070001956010003080004209001050900713100400000600008002,746192835581367429293584167372841956915673284864259371458926713127435698639718542
007800040100009002052004073005090304014076500080000060008625001003010690400003020,937852146146739852852164973675298314214376589389541267798625431523417698461983725
500870100907300405040010002004009010001020509380600040000240703020500060760003800,532874196917362485846915372254739618671428539389651247198246753423587961765193824
080003076004907300200001004871030009000060230000004105043009708050040010012005600,189423576564987321237651894871532469495168237326794185643219758758346912912875643
010800729085000600003264000700000090406058000008793010000041080000370500160009042,614835729285917634973264158731426895496158273528793416352641987849372561167589342
060850000001903700200000069040006010097038020008407005500000300006020091904701056,769852143451963782283174569345296817197538624628417935512649378876325491934781256
507010000040000690002806503001695300000001409320070000008000905605307010100020008,567913842843752691912846573481695327756231489329478156278164935695387214134529768
000040005420570180000003609800901000570000060010020834050436200008007300160090000,391648725426579183785213649834961572572384961619725834957436218248157396163892457
082400070040039020060100830250007000103048000004020016900000501008250790000701080,382465179741839625569172834256917348193648257874523916927384561418256793635791482
000369000001400007509007638908040351003000962000005070700002000600000013184090500,827369145361458297549127638978246351453871962216935874735612489692584713184793526
050004000687000201000200036040800060060107900701009005000050002190030008205906704,352614879687593241419278536943825167568147923721369485876451392194732658235986714
002370540001000000060005098030500006009008007780602130000400010540061920200009700,892376541351984672467215398134597286629138457785642139976423815548761923213859764
